,Column Labels,,,,,,,,,
,Sum of GrossApproval,,,,Count of SBAGuaranteedApproval,,,,Total Sum of GrossApproval,Total Count of SBAGuaranteedApproval
Row Labels,2018,2017,2016,2015,2018,2017,2016,2015,,
"Wells Fargo Bank, National Association",650055300,1767258350,1977035235,1753844441,1848,5446,8737,6724,6148193326,22755
Live Oak Banking Company,788485100,1419657734,1374514342,1085680100,515,1055,1075,892,4668337276,3537
"JPMorgan Chase Bank, National Association",322943700,745232146,799574063,718914700,1307,3298,3330,3757,2586664609,11692
The Huntington National Bank,449947330,802677139,645522150,614628800,2344,4065,3902,3842,2512775419,14153
U.S. Bank National Association,179309000,514619250,845066404,430697800,990,2090,3285,3251,1969692454,9616
Byline Bank,283068000,402987578,476521232,336257100,236,360,426,360,1498833910,1382
Celtic Bank Corporation,201199400,488634320,396601400,322612900,689,1417,1399,1152,1409048020,4657
"Newtek Small Business Finance, Inc.",274677300,412872700,398717100,242055600,354,525,517,264,1328322700,1660
Bank of Hope,184426900,264124100,321628800,339346600,226,406,472,548,1109526400,1652
Compass Bank,173254000,317777000,311611300,263609958,559,1602,1801,1280,1066252258,5242
Seacoast Commerce Bank,132227400,293847300,274159700,252007950,134,297,286,270,952242350,987
SunTrust Bank,77469500,267928800,264925200,335553000,128,412,487,535,945876500,1562
KeyBank National Association,118542300,321102600,253400200,182018900,245,739,675,625,875064000,2284
"TD Bank, National Association",155259618,294281601,216819535,188155300,2206,3253,1045,953,854516054,7457
Stearns Bank National Association,130809000,237291340,261681600,185677400,375,757,818,465,815459340,2415
Bank of the West,131753200,255726700,207505900,219233500,203,376,292,301,814219300,1172
Pacific Premier Bank,88697200,230033600,193934400,211300326,52,149,169,184,723965526,554
Regions Bank,84457000,206598100,194667800,234362627,99,261,246,298,720085527,904
"BankUnited, National Association",95372987,210702804,209349800,196061400,82,201,173,151,711486991,607
Commonwealth Business Bank,112538400,209658800,172174000,160260900,85,199,170,160,654632100,614
First Financial Bank,99140500,176493600,197024450,176024200,119,261,317,317,648682750,1014
First Home Bank,127245100,290027500,177782200,38860300,469,1072,680,86,633915100,2307
Manufacturers and Traders Trust Company,78593100,186983400,206522020,156867200,591,1248,1739,1170,628965720,4748
United Community Bank,123166400,161166000,158848400,139870390,135,207,195,111,583051190,648
Pinnacle Bank,89295500,206468300,156215300,126369400,95,201,178,154,578348500,628
Pacific City Bank,70594700,191636100,185940700,119926300,74,207,229,192,568097800,702
Pacific Western Bank,66825900,143689900,144715400,168080200,48,120,127,163,523311400,458
First National Bank of Pennsylvania,40655100,92800100,185626300,185141904,69,171,277,235,504223404,752
First Bank Financial Centre,81726100,146742600,144510700,119966400,73,178,219,253,492945800,723
Metro City Bank,60828400,136903100,154961100,129708900,38,102,110,90,482401500,340
"Zions Bank, A Division of",64342401,106615200,157163200,145664700,306,481,501,629,473785501,1917
NewBank,71138000,149776000,147690000,103386000,62,159,136,92,471990000,449
"Hana Small Business Lending, Inc.",43386500,133586000,138309500,154380400,44,147,181,167,469662400,539
East West Bank,56141800,118394900,127363700,148688700,96,230,258,202,450589100,786
Hanmi Bank,59169500,158305800,121431500,100922700,104,260,175,144,439829500,683
Synovus Bank,65392800,130441888,128017884,109964410,59,97,136,91,433816982,383
Berkshire Bank,81236800,137829000,110571200,81849000,208,533,707,469,411486000,1917
First Bank,191255500,138188700,43423800,24502600,154,131,56,56,397370600,397
NOA Bank,54993500,125106000,120539212,91898000,54,120,113,82,392536712,369
Open Bank,42988800,148964600,122384800,75539800,48,122,100,73,389878000,343
Comerica Bank,40136900,127020600,109101700,103790300,99,360,446,268,380049500,1173
"Bank of America, National Association",73652200,147313900,99832600,58599500,111,223,173,240,379398200,747
Fifth Third Bank,46358075,120966000,87422200,106061000,193,371,366,295,360807275,1225
Umpqua Bank,53574700,131775800,60116500,111632300,76,142,72,109,357099300,399
Royal Business Bank,6651000,97918000,111604000,119378000,11,53,66,61,335551000,191
"Spirit of Texas Bank, SSB",49068900,105779561,84498497,86351685,135,300,240,242,325698643,917
Fidelity Bank,49523063,102041300,77083200,88900000,98,162,135,175,317547563,570
The Bancorp Bank,33975300,76287800,123806900,79594155,39,104,125,102,313664155,370
"Harvest Small Business Finance, LLC",132822900,162845500,10546400,,87,111,10,,306214800,208
First IC Bank,50251500,97802500,76895000,80807500,55,104,88,83,305756500,330
"Capital One, National Association",34409600,72595524,71477000,105525500,54,130,158,204,284007624,546
United Midwest Savings Bank,71783800,97157200,58348300,54259800,246,248,67,53,281549100,614
"Citizens Bank, National Association",37513600,87930700,96488100,54896900,304,659,701,428,276829300,2092
"Readycap Lending, LLC",95094500,120322100,57078500,4330700,107,119,73,8,276825800,307
Wallis State Bank,34235900,77449500,79975200,81209700,43,85,81,85,272870300,294
Simmons Bank,20382800,96204500,79751193,72968100,39,169,168,134,269306593,510
Radius Bank,76323300,119298000,58367500,12004000,76,155,72,36,265992800,339
Community Bank,35273000,94124200,83590700,51452500,61,130,106,72,264440400,369
US Metro Bank,55979700,116813400,53356500,33416900,39,85,54,32,259566500,210
Branch Banking and Trust Company,33279612,73113800,62001600,90652600,82,187,148,265,259047612,682
West Town Bank & Trust,6850400,60864300,116227400,74785000,9,42,82,47,258727100,180
Independence Bank,57290000,127597700,42225000,29485000,597,1141,308,148,256597700,2194
"PNC Bank, National Association",47488400,69556900,67454600,70830400,227,394,346,377,255330300,1344
State Bank and Trust Company,28716000,70001100,97350600,58179200,58,105,110,73,254246900,346
Meadows Bank,35757800,79661100,53608900,82667400,29,77,76,78,251695200,260
"Atlantic Capital Bank, National Association",60346900,42282900,88062200,58807900,47,37,63,58,249499900,205
Midwest Regional Bank,31029000,89438000,84678600,44223300,56,101,84,51,249368900,292
Citizens Bank,57939400,99461573,86025500,3455300,78,104,101,11,246881773,294
Republic First Bank d/b/a Republic Bank,28360000,64059000,86314000,55944500,27,64,73,56,234677500,220
New Millennium Bank,31980000,98928500,68076000,33530000,43,119,96,49,232514500,307
"MUFG Union Bank, National Association",61647100,84595700,55746000,28589000,43,67,47,35,230577800,192
Ameris Bank,28928600,67673500,74047100,58025400,23,47,61,63,228674600,194
Poppy Bank,23846000,38793500,83045500,75679000,12,28,46,52,221364000,138
"Green Bank, National Association",44949000,69085900,69431500,36831800,28,42,46,35,220298200,151
Northeast Bank,18017200,66672629,70103100,63790284,16,55,104,99,218583213,274
Noah Bank,55213000,108361000,23529000,26993000,58,135,32,46,214096000,271
First Savings Bank,59717100,99111000,42988061,9000300,40,96,39,19,210816461,194
Customers Bank,32971000,88391396,55222900,32009400,57,116,86,54,208594696,313
First Business Bank,13644200,20153500,107935400,64373500,13,35,136,98,206106600,282
Bank of George,35332000,89479800,59772600,17066000,25,51,33,11,201650400,120
Gulf Coast Bank and Trust Company,22127600,53718200,59425500,62372300,21,59,69,66,197643600,215
First-Citizens Bank & Trust Company,36413800,96470000,51716500,11960000,55,125,60,19,196560300,259
Eastern Bank,27360500,63927100,54385200,47183400,369,943,855,805,192856200,2972
Pacific Enterprise Bank,13355000,41937500,60292800,76500600,13,26,56,61,192085900,156
Uniti Bank,31020000,68523000,54157000,36048500,34,69,61,46,189748500,210
"First Western SBLC, Inc",29353000,73208000,44996000,41470000,14,36,29,30,189027000,109
First Choice Bank,20839900,60371600,49043900,56946900,12,45,38,42,187202300,137
Crestmark Bank,30275000,49518000,70539600,36159600,17,43,52,36,186492200,148
Banner Bank,28678500,47406100,50994200,58948680,172,352,277,278,186027480,1079
Chemical Bank,35542600,68455500,48406400,21718000,58,145,135,74,174122500,412
Arvest Bank,45113200,41186200,38415335,47229416,60,149,157,170,171944151,536
"Banc of California, National Association",10774000,60623900,55161600,42555100,15,55,55,41,169114600,166
"T Bank, National Association",18996400,48491000,56896400,43587000,10,29,39,28,167970800,106
The MINT National Bank,19418000,71962200,44895000,26553500,18,47,27,21,162828700,113
Old National Bank,35745100,48082900,45437200,33034268,44,81,67,55,162299468,247
Evolve Bank & Trust,18015700,31880200,62643000,44123500,19,31,54,43,156662400,147
Firstrust Savings Bank,16491000,45877900,61637100,31575500,15,45,66,33,155581500,159
First Chatham Bank,20261300,64807000,38023100,31846700,15,41,28,27,154938100,111
BancFirst,13590200,46117600,49113614,43256100,54,116,119,121,152077514,410
United Business Bank,21192500,57267800,44199300,28068500,19,50,40,27,150728100,136
CoBiz Bank,22834500,41162700,34973400,49445700,35,78,90,80,148416300,283
Plumas Bank,24915500,48848100,38310400,35477800,26,75,70,64,147551800,235
Savoy Bank,30079500,58478000,29652000,26022000,20,22,11,12,144231500,65
"Citibank, N.A.",21493600,47662700,36808500,37746500,100,237,194,198,143711300,729
Rock Canyon Bank,21259400,54021500,39612800,26033600,25,53,47,36,140927300,161
IBERIABANK,36714400,47237200,41315800,15000900,34,43,41,13,140268300,131
"Bank of American Fork, A Division of",21473000,48323900,31450300,38878500,28,97,74,73,140125700,272
"CenterStone SBA Lending, Inc.",44853500,74849200,18891100,,35,57,23,,138593800,115
Woori America Bank,19640000,39149000,38815500,40609000,20,52,58,47,138213500,177
Paragon Bank,11540600,41222100,44978900,40180200,17,50,66,53,137921800,186
"Santander Bank, National Association",18910800,28661800,37455400,52184300,155,240,273,303,137212300,971
Valley National Bank,20076000,43032500,44318400,29120500,32,58,47,35,136547400,172
"Fulton Bank, National Association",45337000,56252700,22188000,12541400,42,70,41,23,136319100,176
Mission Valley Bank,5444200,41795250,57946800,30162400,8,27,31,17,135348650,83
Five Star Bank,41945700,48501500,23242500,20654800,219,276,273,179,134344500,947
Glacier Bank,21290300,39112100,40021700,33786245,74,140,158,165,134210345,537
Unity Bank,19918300,28585148,49961200,33931000,16,41,56,44,132395648,157
"CRF Small Business Loan Company, LLC",22858200,34581400,30405700,43088890,35,78,56,80,130934190,249
Northwest Bank,18800200,38898158,20433100,50296100,69,171,68,104,128427558,412
First Interstate Bank,5278800,42312937,49090956,30517500,17,70,109,77,127200193,273
Veritex Community Bank,10694200,50516000,47678900,17321700,13,43,55,23,126210800,134
Centric Bank,17594800,43424000,44058100,19578000,29,77,61,21,124654900,188
Renasant Bank,6189800,32380500,50322900,33760500,8,53,76,62,122653700,199
Western Alliance Bank,17441300,24677100,33380200,45237300,52,47,47,56,120735900,202
MainSource Bank,13619900,33672300,41170100,30952800,49,127,139,101,119415100,416
Heritage Bank,10699000,37136900,33240866,37347932,21,57,66,60,118424698,204
Santa Cruz County Bank,14006000,41703000,37102300,25580700,22,58,45,34,118392000,159
CBC National Bank,18103700,26293600,33584400,40369300,13,31,34,37,118351000,115
"Texan Bank, National Association",15354700,32638300,44170600,25573700,8,19,25,17,117737300,69
UniBank,9743000,20023000,41470700,43607000,9,22,35,44,114843700,110
Quantum National Bank,20301200,27750500,44382200,22032400,13,16,43,21,114466300,93
Plains State Bank,16672600,41118100,36747300,19154400,14,23,17,8,113692400,62
Washington Trust Bank,16849700,31828500,28305800,36278400,43,109,105,88,113262400,345
Touchmark National Bank,21794800,35473800,30850600,25052900,25,29,23,16,113172100,93
Village Bank and Trust,8175000,26631500,26728700,49710900,20,66,65,115,111246100,266
